,52,53,54,55,56,57-73,74
,Target year,Targeted reduction from base year (%),Total emissions in target year covered by target in all selected Scopes (metric tons CO2e)  [auto-calculated],Scope 1 emissions in reporting year covered by target (metric tons CO2e),Scope 2 emissions in reporting year covered by target (metric tons CO2e),"Scope 3, Category [â¦] emissions in reporting year covered by target (metric tons CO2e) [One column for each Scope 3 category]",Total Scope 3 emissions in reporting year covered by target (metric tons CO2e)
0,Numerical field [enter a whole number between 2018- 2100],Percentage field [enter a percentage from 0-100 using a maximum of 2 decimal places],"Numerical field [0-999,999,999,999]","Numerical field [enter a number from 0-999,999,999,999 using a maximum of 3 decimal places and no commas]","Numerical field [enter a number from 0-999,999,999,999 using a maximum of 3 decimal places and no commas]","Numerical field [enter a number from 0-999,999,999,999 using a maximum of 3 decimal places and no commas]","Numerical field [enter a number from 0-999,999,999,999 using a maximum of 3 decimal places and no commas]"
