,31,32,33-49,50,51
,Base year Scope 1 emissions covered by target as % of total base year emissions in Scope 1,Base year Scope 2 emissions covered by target as % of total base year emissions in Scope 2,"Base year Scope 3, Category [â¦] emissions covered by target as  % of total base year emissions in Scope 3, Category [â¦] (metric tons CO  2e)* [One column for each Scope 3 category]",Base year Scope 3 emissions covered by target as % of total base year emissions in Scope 3 (in all Scope 3 categories),Base year emissions covered by target in all selected Scopes as % of total base year emissions in all selected Scopes
0,Percentage field [enter a percentage from 0-100 using a maximum of 3 decimal places],Percentage field [enter a percentage from 0-100 using a maximum of 3 decimal places],Percentage field [enter a percentage from 0-100 using a maximum of 3 decimal places],Percentage field [enter a percentage from 0-100 using a maximum of 3 decimal places],Percentage field [enter a percentage from 0-100 using a maximum of 3 decimal places]
