,Target reference number,Is this a science-based target?,Target ambition*,Year target was set,Target coverage,Scope(s),Scope 2 accounting method
0,Abs 1,"Yes, and this target has been approved by the Science -Based Targets initiative",1.5Â°C aligned,2019,Company-wide,Scope 1  Scope 2,Market-based
1,Abs 2,"Yes, and this target has been approved by the Science -Based Targets initiative",1.5Â°C aligned,2019,Company-wide,Scope 3,
