,Base year total Scope 3 emissions covered by target (metric tons CO2e),Total base year emissions covered by target in all selected Scopes (metric tons CO2e),Base year Scope 1 emissions covered by target as % of total base year emissions in Scope 1,Base year Scope 2 emissions covered by target as % of total base year emissions in Scope 2,"Base year Scope 3, Category 1: Purchased goods and services emissions covered by target as % of total base year emissions in Scope 3, Category 1 (metric tons CO2e)","Base year Scope 3, Category 6: Business travel emissions covered by target as % of total base year emissions in Scope 3, Category 1 (metric tons CO2e)","Base year Scope 3, Category 7: Employee commuting emissions covered by target as % of total base year emissions in Scope 3, Category 1 (metric tons CO2e)"
0,,1280000,95.0,95.0,,,
1,875000.0,875000,,,95%,100%,100%
